1-May,,
Langley Manor 1,Langley Manor 3,
T&E,OTs 1,
OTs 2,R&H,
Calmore,W&P,
Paultons ,Langley Manor 2,
==========,,
8-May,,
OTs 1,Langley Manor 1,
Langley Manor 2,Calmore,
R&H,T&E,
W&P,OTs 2,
Langley Manor 3,Paultons ,
==========,,
15-May,,
Langley Manor 1,R&H,
Langley Manor 3,OTs 1,
T&E,W&P,
OTs 2,Langley Manor 2,
Paultons ,Calmore,
==========,,
22-May,,
W&P,Langley Manor 1,
R&H,Langley Manor 3,
Calmore,OTs 2,
Langley Manor 2,T&E,
OTs 1,Paultons ,
==========,,
12-Jun,,
Langley Manor 1,Langley Manor 2,
Langley Manor 3,W&P,
OTs 1,R&H,
T&E,Calmore,
Paultons ,OTs 2,
==========,,
19-Jun,,
Calmore,Langley Manor 1,
Langley Manor 2,Langley Manor 3,
W&P,OTs 1,
OTs 2,T&E,
R&H,Paultons ,
==========,,
26-Jun,,
Langley Manor 1,OTs 2,
Langley Manor 3,Calmore,
OTs 1,Langley Manor 2,
R&H,W&P,
Paultons ,T&E,
==========,,
3-Jul,,
T&E,Langley Manor 1,
OTs 2,Langley Manor 3,
Calmore,OTs 1,
Langley Manor 2,R&H,
W&P,Paultons ,
==========,,
10-Jul,,
W&P,Langley Manor 2,
Langley Manor 3,T&E,
OTs 1,OTs 2,
R&H,Calmore,
Langley Manor 1,Paultons ,
==========,,
